model_name,spec,term,estimate,std_error,statistic,p_value,ci_lower,ci_upper,odds_ratio
Linear,interaction,int_smell_fragrance_ingredients,-0.6681324624227105,0.020105790701210064,-33.23084738878233,9.942408863655804e-242,-0.7075392361513373,-0.6287256886940837,
Linear,interaction,int_price_value_packaging,-0.7533762881235307,0.026316732974511425,-28.62727257419069,5.1821698214012404e-180,-0.8049563307597474,-0.7017962454873141,
Linear,interaction,int_price_value_service_shipping,-0.6532318125908119,0.05049490018237376,-12.936589838409768,2.8599510555155157e-38,-0.7522003702321007,-0.554263254949523,
Linear,interaction,int_texture_consistency_packaging,-0.4153723580014926,0.05180647928566076,-8.017768505578823,1.0804009629123323e-15,-0.5169115731075146,-0.3138331428954706,
Linear,interaction,int_texture_consistency_ingredients,-0.6267114205905501,0.04124034321320247,-15.196561710231304,3.885553493952229e-52,-0.7075413117221517,-0.5458815294589484,
Linear,interaction,int_packaging_ingredients,-0.4963919818584333,0.017804386276822074,-27.880319722373205,7.391553761593712e-171,-0.5312880688521953,-0.4614958948646714,
Linear,interaction,int_packaging_service_shipping,-0.36871467192599483,0.03986354706042356,-9.249419560359543,2.2703062369144536e-20,-0.4468460820443759,-0.29058326180761374,
Linear,interaction,int_ingredients_effectiveness_results,-0.8479949936557246,0.03460872134013671,-24.5023497205105,1.8455359971360062e-132,-0.9158270959169793,-0.7801628913944699,
Linear,interaction,int_ingredients_service_shipping,-0.5330408068282604,0.037644389295461246,-14.159900500564866,1.6741483088058542e-45,-0.6068227313078234,-0.45925888234869733,
Ordinal,additive,smell/fragrance_centered,1.66172104642962,0.013834188470798925,120.11698770312152,0.0,1.634606535271515,1.688835557587725,5.268370156109851
Ordinal,additive,price/value_centered,1.55618106519219,0.015644062899228428,99.4742270736422,0.0,1.525519265337823,1.586842865046557,4.740682274858427
Ordinal,additive,texture/consistency_centered,1.1062041889683445,0.027264987856052633,40.57233382272624,0.0,1.0527657947315594,1.1596425832051296,3.0228623755288306
Ordinal,additive,packaging_centered,1.7341658075641762,0.011149614353662596,155.53594524051954,0.0,1.7123129649894866,1.7560186501388657,5.664200799001757
Ordinal,additive,ingredients_centered,1.9610707837225865,0.009641708458830611,203.39453242091017,0.0,1.9421733823938432,1.9799681850513298,7.106932980437728
Ordinal,additive,effectiveness/results_centered,1.3619524319156024,0.024966198875197694,54.55185383741432,0.0,1.3130195812893506,1.4108852825418543,3.90380778490806
Ordinal,additive,service/shipping_centered,1.3568398457254067,0.02877080136375341,47.1603077220785,0.0,1.3004501112460942,1.4132295802047192,3.883900164214069
Ordinal,additive,1/2,-2.38286138551575,0.006274715727851931,-379.75607005410785,0.0,-2.395159602355567,-2.3705631686759334,0.0922861331474445
Ordinal,additive,2/3,-0.5395473704737416,0.006735995645804053,-80.09912696571193,0.0,-0.5527496793395361,-0.526345061607947,0.5830120811432308
Ordinal,additive,3/4,-0.44531480331527407,0.005811845748211486,-76.62192401653355,0.0,-0.4567058116654708,-0.4339237949650773,0.640622574175588
Ordinal,additive,4/5,-0.257429947397113,0.004725246066937797,-54.479691374874974,0.0,-0.2666912595064006,-0.24816863528782537,0.773035777585087
Ordinal,interaction,smell/fragrance_centered,1.6537805744697374,0.014820737859141304,111.5855762504901,0.0,1.6247324620415111,1.6828286868979636,5.226702460129353
Ordinal,interaction,price/value_centered,1.5361564370826377,0.015753479221168005,97.5122013058867,0.0,1.5052801851779483,1.5670326889873272,4.646696035636836
Ordinal,interaction,texture/consistency_centered,1.0093691826027902,0.028619325420208206,35.26879714257944,1.7674309272008647e-272,0.9532763355173505,1.06546202968823,2.7438695882953117
Ordinal,interaction,packaging_centered,1.7470626681507724,0.013108620037359476,133.27586452057164,0.0,1.7213702449905277,1.772755091311017,5.737724299118282
Ordinal,interaction,ingredients_centered,1.9529235814182382,0.010464600451923156,186.6218964011507,0.0,1.9324133414198672,1.9734338214166092,7.0492665885391705
Ordinal,interaction,effectiveness/results_centered,1.3175063831970877,0.025500636340192145,51.66562769731888,0.0,1.2675260543874578,1.3674867120067176,3.7340983476767358
Ordinal,interaction,service/shipping_centered,1.3343731959875331,0.0303577277850523,43.954975992786885,0.0,1.2748731428763598,1.3938732490987065,3.7976148400341723
Ordinal,interaction,int_smell_fragrance_texture_consistency,-0.7693879825091345,0.10815374186253214,-7.113836001042464,1.1286125137431067e-12,-0.9813654213529395,-0.5574105436653296,0.4632965271395664
